
2024/10/26 (13:12:46) | ===> btop++ v.1.2.13
2024/10/26 (13:12:46) | INFO: Logger set to DEBUG
2024/10/26 (13:12:46) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (13:12:46) | INFO: Running on /dev/pts/0

2024/10/26 (13:13:32) | ===> btop++ v.1.2.13
2024/10/26 (13:13:32) | INFO: Logger set to DEBUG
2024/10/26 (13:13:32) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (13:13:32) | INFO: Running on /dev/pts/0
2024/10/26 (13:14:02) | DEBUG: Writing new config file
2024/10/26 (13:14:02) | INFO: Quitting! Runtime: 00:00:30

2024/10/26 (13:14:13) | ===> btop++ v.1.2.13
2024/10/26 (13:14:13) | INFO: Logger set to DEBUG
2024/10/26 (13:14:13) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (13:14:13) | INFO: Running on /dev/pts/0

2024/10/26 (13:26:06) | ===> btop++ v.1.2.13
2024/10/26 (13:26:06) | INFO: Logger set to DEBUG
2024/10/26 (13:26:06) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (13:26:06) | INFO: Running on /dev/pts/0
2024/10/26 (13:26:11) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2024/10/26 (13:26:15) | DEBUG: Writing new config file
2024/10/26 (13:26:15) | INFO: Quitting! Runtime: 00:00:09

2024/10/26 (13:28:59) | ===> btop++ v.1.2.13
2024/10/26 (13:28:59) | INFO: Logger set to DEBUG
2024/10/26 (13:28:59) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (13:28:59) | INFO: Running on /dev/pts/0
2024/10/26 (13:28:59) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2024/10/26 (13:29:03) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2024/10/26 (13:29:03) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2024/10/26 (13:29:03) | DEBUG: Loading theme file: /usr/share/btop/themes/kyli0x.theme
2024/10/26 (13:29:03) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2024/10/26 (13:29:04) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2024/10/26 (13:29:04) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2024/10/26 (13:29:04) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/10/26 (13:29:05) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2024/10/26 (13:29:05) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2024/10/26 (13:29:05) | DEBUG: Loading theme file: /usr/share/btop/themes/greyscale.theme
2024/10/26 (13:29:06) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2024/10/26 (13:29:06) | DEBUG: Loading theme file: /usr/share/btop/themes/paper.theme
2024/10/26 (13:29:07) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-storm.theme
2024/10/26 (13:29:07) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2024/10/26 (13:29:07) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2024/10/26 (13:29:07) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_light.theme
2024/10/26 (13:29:08) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2024/10/26 (13:29:08) | DEBUG: Loading theme file: /usr/share/btop/themes/night-owl.theme
2024/10/26 (13:29:09) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2024/10/26 (13:29:09) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-hard.theme
2024/10/26 (13:29:10) | DEBUG: Loading theme file: /usr/share/btop/themes/elementarish.theme
